year,name,geo_id,total_population,white,black,hispanic,asian,american_indian,pacific_islander,other_race,median_age,total_households,owner_occupied_homes_median_value,per_capita_income,median_household_income,below_poverty_line,foreign_born_population,state,place
2015,"Auburn city, Washington",16000US5303180,76580,,,10836,,,,,37.1,27829,275200,70602,70602,6984,14842,53,03180
2015,"Bellevue city, Washington",16000US5305210,139814,69902,3062,12215,47703,348,270,213,37.4,56937,645300,98804,98804,9854,54654,53,05210
2015,"Bellingham city, Washington",16000US5305280,85143,66345,934,6966,5927,1383,296,94,30.7,32933,297900,49245,49245,16581,8713,53,05280
2015,"Everett city, Washington",16000US5322640,108012,71216,3809,15889,8039,978,1987,65,37,44510,263200,51755,51755,15766,19499,53,22640
2015,"Federal Way city, Washington",16000US5323515,95188,45879,12783,14049,12616,333,3490,93,36.4,35244,274700,62174,62174,11797,18565,53,23515
2015,"Kennewick city, Washington",16000US5335275,78903,,,19395,,,,,32,27849,181900,52202,52202,14319,8376,53,35275
2015,"Kent city, Washington",16000US5335415,126962,56696,15953,21928,23651,1229,1461,198,33.4,40844,282300,66790,66790,16140,38175,53,35415
2015,"Kirkland city, Washington",16000US5335940,87267,,,6720,,,,,40.8,37497,529200,102420,102420,5429,18570,53,35940
2015,"Marysville city, Washington",16000US5343955,66773,,,7142,,,,,33.2,23790,251300,75120,75120,6320,7721,53,43955
2015,"Pasco city, Washington",16000US5353545,68097,,,38883,,,,,28.6,19606,173500,60054,60054,10251,16265,53,53545
2015,"Renton city, Washington",16000US5357745,100247,48741,9371,15392,19417,312,1133,454,36.3,38732,328800,68656,68656,11254,28962,53,57745
2015,"Seattle city, Washington",16000US5363000,684443,451557,49165,43060,96119,4008,1098,1755,35.5,311038,530900,80349,80349,79728,119840,53,63000
2015,"Spokane city, Washington",16000US5367000,213267,174061,4564,13365,5463,3082,1810,195,36.6,87867,164700,44350,44350,38013,13253,53,67000
2015,"Spokane Valley city, Washington",16000US5367167,94908,,,5110,,,,,36,39322,171500,43296,43296,16401,4199,53,67167
2015,"Tacoma city, Washington",16000US5370000,207950,122843,22032,25764,20997,903,1767,268,37.7,81647,218900,52437,52437,33083,31863,53,70000
2015,"Vancouver city, Washington",16000US5374060,172853,127150,3525,23184,7864,1149,1202,40,37.2,68513,227700,51988,51988,21941,21748,53,74060
2015,"Yakima city, Washington",16000US5380010,93700,45043,717,44172,1202,1079,0,0,34,33290,158200,44050,44050,20024,15717,53,80010
2015,"Appleton city, Wisconsin",16000US5502375,75255,,,5139,,,,,35.6,29201,137700,49405,49405,9581,4454,55,02375
2015,"Eau Claire city, Wisconsin",16000US5522300,67433,,,1488,,,,,32,26475,138600,48631,48631,10532,2833,55,22300
2015,"Green Bay city, Wisconsin",16000US5531000,105221,,,16786,,,,,32.9,42864,125400,41811,41811,18143,9813,55,31000
2015,"Kenosha city, Wisconsin",16000US5539225,99856,,,18772,,,,,36.3,37852,141100,48235,48235,16220,7443,55,39225
2015,"Madison city, Wisconsin",16000US5548000,248956,184152,16563,19697,20392,809,83,67,30.7,105922,222800,57690,57690,41270,30090,55,48000
