year,name,geo_id,total_population,white,black,hispanic,asian,american_indian,pacific_islander,other_race,median_age,total_households,owner_occupied_homes_median_value,per_capita_income,median_household_income,below_poverty_line,foreign_born_population,state,congressional_district
2015,"Congressional District 32 (114th Congress), Texas",50000US4832,748526,373840,100529,194345,57862,1603,64,1037,35.4,282479,204100,66375,66375,95128,154831,48,32
2015,"Congressional District 33 (114th Congress), Texas",50000US4833,740323,103504,119274,496209,14550,1005,0,2,30,219249,87100,39246,39246,181573,248018,48,33
2015,"Congressional District 34 (114th Congress), Texas",50000US4834,730907,107534,8805,606908,4380,999,86,363,32.2,212817,82000,35642,35642,209455,140042,48,34
2015,"Congressional District 35 (114th Congress), Texas",50000US4835,823909,209616,66181,519643,14454,983,191,1634,31.4,267303,126800,43831,43831,167628,143510,48,35
2015,"Congressional District 36 (114th Congress), Texas",50000US4836,731274,458598,68761,172054,14982,2060,433,427,36.9,264815,124000,56885,56885,94899,72939,48,36
2015,"Congressional District 1 (114th Congress), Utah",50000US4901,740397,602294,7140,95596,9904,6801,1997,445,30.3,231359,206600,63334,63334,78620,44277,49,01
2015,"Congressional District 2 (114th Congress), Utah",50000US4902,750207,575421,8406,114689,21930,5513,8284,1005,32.7,251626,216900,55339,55339,99400,73468,49,02
2015,"Congressional District 3 (114th Congress), Utah",50000US4903,743301,612330,3961,76186,15361,12018,4548,621,27.5,216903,275500,66007,66007,88898,49880,49,03
2015,"Congressional District 4 (114th Congress), Utah",50000US4904,762014,574115,12991,122839,20953,5252,8799,710,31.2,231092,245700,67632,67632,64936,76842,49,04
2015,"Congressional District (at Large) (114th Congress), Vermont",50000US5000,626042,584851,7694,10422,8627,2277,282,950,43.1,254865,223700,56990,56990,61314,28247,50,00
2015,"Congressional District 1 (114th Congress), Virginia",50000US5101,771237,511365,131108,72456,26911,1817,754,1080,38.5,271514,305700,77593,77593,49650,65763,51,01
2015,"Congressional District 2 (114th Congress), Virginia",50000US5102,748489,458811,160316,59560,39209,2164,485,1585,35.1,279059,240700,62006,62006,71679,59482,51,02
2015,"Congressional District 3 (114th Congress), Virginia",50000US5103,738228,234729,417135,43751,12794,2669,611,2562,33.2,287256,164600,41152,41152,157996,35808,51,03
2015,"Congressional District 4 (114th Congress), Virginia",50000US5104,753899,440071,233815,40788,16697,2157,598,1296,38.5,270552,218400,62796,62796,78319,39451,51,04
2015,"Congressional District 5 (114th Congress), Virginia",50000US5105,736851,539096,143988,25120,13230,783,190,903,42.6,291018,185000,50612,50612,98763,30823,51,05
2015,"Congressional District 6 (114th Congress), Virginia",50000US5106,745367,592951,80483,38565,13458,1501,241,969,39.9,287061,180300,49220,49220,113115,40657,51,06
2015,"Congressional District 7 (114th Congress), Virginia",50000US5107,778480,550112,117417,49532,39124,1983,302,2064,39.9,289326,264100,74889,74889,52722,71042,51,07
2015,"Congressional District 8 (114th Congress), Virginia",50000US5108,808352,416170,106195,161845,95155,427,555,2836,35.5,314949,526300,100644,100644,60698,243855,51,08
