Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational Option Type","NSLP Provision Status","Charter School (Y/N)","Charter School Number","Charter Funding Type",IRC,Low Grade,High Grade,"Enrollment (K-12)","Free Meal Count (K-12)","Percent (%) Eligible Free (K-12)","FRPM Count (K-12)","Percent (%) Eligible FRPM (K-12)","Enrollment (Ages 5-17)","Free Meal Count (Ages 5-17)","Percent (%) Eligible Free (Ages 5-17)","FRPM Count (Ages 5-17)","Percent (%) Eligible FRPM (Ages 5-17)","2013-14 CALPADS Fall 1 Certification Status"
2014-2015,01,61192,6000988,Alameda,Hayward Unified,Glassbrook Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,548.0,466.0,0.8503649635036497,494.0,0.9014598540145985,532.0,458.0,0.8609022556390977,484.0,0.9097744360902256,Y
2014-2015,01,61192,6000996,Alameda,Hayward Unified,Harder Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,608.0,452.0,0.743421052631579,501.0,0.8240131578947368,608.0,452.0,0.743421052631579,501.0,0.8240131578947368,Y
2014-2015,01,61192,6001044,Alameda,Hayward Unified,Longwood Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,692.0,554.0,0.8005780346820809,618.0,0.8930635838150289,674.0,544.0,0.8071216617210683,606.0,0.8991097922848664,Y
2014-2015,01,61192,6001051,Alameda,Hayward Unified,Lorin A. Eden Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,493.0,250.0,0.5070993914807302,297.0,0.6024340770791075,493.0,250.0,0.5070993914807302,297.0,0.6024340770791075,Y
2014-2015,01,61192,6001093,Alameda,Hayward Unified,Palma Ceia Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,579.0,369.0,0.6373056994818653,429.0,0.7409326424870466,579.0,369.0,0.6373056994818653,429.0,0.7409326424870466,Y
2014-2015,01,61192,6001101,Alameda,Hayward Unified,Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,614.0,388.0,0.6319218241042345,429.0,0.6986970684039088,600.0,379.0,0.6316666666666667,420.0,0.7,Y
2014-2015,01,61192,6001127,Alameda,Hayward Unified,Ruus Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,603.0,417.0,0.6915422885572139,470.0,0.7794361525704809,593.0,410.0,0.6913996627318718,463.0,0.7807757166947723,Y
2014-2015,01,61192,6001135,Alameda,Hayward Unified,Schafer Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,744.0,556.0,0.7473118279569892,618.0,0.8306451612903226,734.0,549.0,0.7479564032697548,610.0,0.8310626702997275,Y
2014-2015,01,61192,6001176,Alameda,Hayward Unified,Southgate Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,651.0,323.0,0.49615975422427033,382.0,0.5867895545314901,638.0,316.0,0.4952978056426332,375.0,0.5877742946708464,Y
2014-2015,01,61192,6001192,Alameda,Hayward Unified,Treeview Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,553.0,355.0,0.6419529837251357,389.0,0.7034358047016275,552.0,354.0,0.6413043478260869,388.0,0.7028985507246377,Y
2014-2015,01,61192,6056931,Alameda,Hayward Unified,Bret Harte Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,636.0,391.0,0.6147798742138365,437.0,0.6871069182389937,636.0,391.0,0.6147798742138365,437.0,0.6871069182389937,Y
2014-2015,01,61192,6056949,Alameda,Hayward Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,547.0,413.0,0.7550274223034735,475.0,0.8683729433272395,547.0,413.0,0.7550274223034735,475.0,0.8683729433272395,Y
2014-2015,01,61192,6056956,Alameda,Hayward Unified,Anthony W. Ochoa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,596.0,371.0,0.62248322147651,438.0,0.7348993288590604,596.0,371.0,0.62248322147651,438.0,0.7348993288590604,Y
2014-2015,01,61192,6056972,Alameda,Hayward Unified,Winton Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,529.0,413.0,0.780718336483932,470.0,0.888468809073724,529.0,413.0,0.780718336483932,470.0,0.888468809073724,Y
2014-2015,01,61192,6062160,Alameda,Hayward Unified,Strobridge Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,620.0,430.0,0.6935483870967742,486.0,0.7838709677419354,619.0,430.0,0.6946688206785138,486.0,0.7851373182552503,Y
2014-2015,01,61192,6066476,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle",Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,829.0,572.0,0.6899879372738239,662.0,0.7985524728588661,829.0,572.0,0.6899879372738239,662.0,0.7985524728588661,Y
2014-2015,01,61192,6090583,Alameda,Hayward Unified,Eden Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,559.0,303.0,0.5420393559928444,356.0,0.6368515205724508,559.0,303.0,0.5420393559928444,356.0,0.6368515205724508,Y
2014-2015,01,61192,6104566,Alameda,Hayward Unified,Tyrrell Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,769.0,626.0,0.8140442132639792,664.0,0.8634590377113134,769.0,626.0,0.8140442132639792,664.0,0.8634590377113134,Y
2014-2015,01,61192,6113815,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,145.0,92.0,0.6344827586206897,107.0,0.7379310344827587,145.0,92.0,0.6344827586206897,107.0,0.7379310344827587,Y
