cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
12101240115097,S,Northcoast Preparatory and Performing Arts Academy,Humboldt County Office of Education,Humboldt,36,35,620,534,579,32,91.43
12626870000000,D,,Northern Humboldt Union High,Humboldt,419,168,546,533,515,108,64.29
12626870107110,S,Six Rivers Charter High,Northern Humboldt Union High,Humboldt,27,16,531,528,472,6,37.50
12626870124263,S,Laurel Tree Charter,Northern Humboldt Union High,Humboldt,6,3,,,,,
12626871230705,S,Arcata High,Northern Humboldt Union High,Humboldt,206,97,574,555,540,75,77.32
12626871235209,S,McKinleyville High,Northern Humboldt Union High,Humboldt,126,52,501,500,486,27,51.92
12628100000000,D,,Fortuna Union High,Humboldt,254,92,514,506,492,48,52.17
12628100108688,S,Academy of the Redwoods,Fortuna Union High,Humboldt,39,25,577,542,524,19,76.00
12628101233402,S,Fortuna Union High,Fortuna Union High,Humboldt,170,67,491,493,480,29,43.28
12629010000000,D,,Klamath-Trinity Joint Unified,Humboldt,63,21,470,440,442,7,33.33
12629011234004,S,Hoopa Valley High,Klamath-Trinity Joint Unified,Humboldt,47,21,470,440,442,7,33.33
12629270000000,D,,Loleta Union Elementary,Humboldt,22,0,NA,NA,NA,NA,NA
12629271230150,S,Pacific View Charter,Loleta Union Elementary,Humboldt,22,0,NA,NA,NA,NA,NA
12630320000000,D,,South Bay Union Elementary,Humboldt,36,4,,,,,
12630320111203,S,Alder Grove Charter,South Bay Union Elementary,Humboldt,36,4,,,,,
12630400000000,D,,Southern Humboldt Joint Unified,Humboldt,47,14,544,509,499,7,50.00
12630401237007,S,South Fork Junior - Senior High,Southern Humboldt Joint Unified,Humboldt,46,14,544,509,499,7,50.00
12753740000000,D,,Ferndale Unified,Humboldt,29,18,507,520,511,11,61.11
12753741232909,S,Ferndale High,Ferndale Unified,Humboldt,29,18,507,520,511,11,61.11
12753820000000,D,,Mattole Unified,Humboldt,93,6,,,,,
12753821230085,S,Mattole Triple Junction High,Mattole Unified,Humboldt,2,2,,,,,
12753821230135,S,Mattole Valley Charter (#159),Mattole Unified,Humboldt,91,4,,,,,
12755150000000,D,,Eureka City Schools,Humboldt,321,111,517,523,502,57,51.35
12755151232206,S,Eureka Senior High,Eureka City Schools,Humboldt,249,111,517,523,502,57,51.35
13000000000000,C,,,Imperial,2693,898,458,463,449,269,29.96
13101320000000,D,,Imperial County Office of Education,Imperial,57,0,NA,NA,NA,NA,NA
13630810000000,D,,Brawley Union High,Imperial,470,156,452,451,442,43,27.56
13630811331404,S,Brawley High,Brawley Union High,Imperial,346,156,452,451,442,43,27.56
13630990000000,D,,Calexico Unified,Imperial,777,216,431,432,425,47,21.76
13630991332204,S,Calexico High,Calexico Unified,Imperial,711,216,431,432,425,47,21.76
13631070000000,D,,Calipatria Unified,Imperial,73,23,464,453,446,6,26.09
13631071332501,S,Calipatria High,Calipatria Unified,Imperial,73,23,464,453,446,6,26.09
13631150000000,D,,Central Union High,Imperial,905,322,473,483,466,116,36.02
13631151330133,S,Southwest High,Central Union High,Imperial,472,193,476,482,468,70,36.27
13631151333004,S,Central Union High,Central Union High,Imperial,377,128,468,486,464,46,35.94
13631151333558,S,Desert Oasis High (Continuation),Central Union High,Imperial,56,1,,,,,
13631490000000,D,,Holtville Unified,Imperial,142,67,441,451,434,13,19.40
13631491335306,S,Holtville High,Holtville Unified,Imperial,140,67,441,451,434,13,19.40
13631640000000,D,,Imperial Unified,Imperial,231,105,495,494,474,44,41.90
13631641335900,S,Imperial High,Imperial Unified,Imperial,225,105,495,494,474,44,41.90
13632140000000,D,,San Pasqual Valley Unified,Imperial,38,9,,,,,
13632141337609,S,San Pasqual Valley High,San Pasqual Valley Unified,Imperial,29,9,,,,,
